,averageDepartureDelay,MedianDelay,TotalFlights,Origin
241,7.115839243498818,-5.0,1269,CSG
242,10.25,-5.0,1232,TWF
243,17.329795918367346,-9.0,1225,PAH
244,20.392592592592592,-4.0,1215,ORH
245,7.117206982543641,-5.0,1203,SPS
246,4.0975,-6.0,1200,TXK
247,20.578859060402685,-9.0,1192,HYS
248,11.686706181202371,-3.0,1181,GTR
249,12.468247248094835,-4.0,1181,ERI
250,28.147540983606557,-4.0,1159,ACK
251,14.388689407540395,-3.0,1114,GRI
252,0.17889908256880735,-7.0,1090,PIH
253,3.8325666973321066,-7.0,1087,LBE
254,17.73371104815864,-5.0,1059,HDN
255,20.712523719165084,-3.0,1054,PLN
256,1.524355300859599,-6.0,1047,CPR
257,9.227713178294573,-2.0,1032,VLD
258,14.111434108527131,0.0,1032,SCK
259,17.443689320388348,0.0,1030,LCK
260,3.882295719844358,-8.0,1028,HVN
261,9.246829268292682,-2.0,1025,BQK
262,21.483647175421208,0.0,1009,BLV
263,12.545454545454545,-2.0,1001,ABY
264,20.983870967741936,-3.0,992,ITH
265,1.2578361981799797,-6.0,989,LWS
266,9.335699797160244,-6.0,986,DBQ
267,-7.002061855670103,-12.0,970,SCC
268,10.034339229968783,-6.0,961,BPT
269,28.883597883597883,-3.0,945,MEI
270,16.157279489904358,-4.0,941,BGM
271,21.266233766233768,-9.0,924,JMS
272,17.480477223427332,-8.0,922,CGI
273,2.9529540481400436,-6.0,914,GGG
274,22.853982300884955,-8.0,904,SLN
275,2.265850945494994,-5.0,899,LYH
276,8.132664437012263,-8.0,897,PUB
277,2.4161979752530933,-6.0,889,STX
278,4.705463182897862,-6.0,842,SWO
279,-1.8955582232893158,-6.0,833,GUM
280,21.414165666266506,-5.0,833,CKB
281,8.772836538461538,-2.0,832,IAG
282,15.239263803680982,-6.0,815,PSE
283,0.8991282689912827,-6.0,803,BET
284,11.505689001264223,-5.0,791,RHI
285,4.227034120734908,-4.0,762,CDC
286,12.048,-7.0,750,GCC
287,10.429530201342281,-4.0,745,RFD
288,9.189373297002724,-6.0,734,BJI
289,9.800818553888131,-6.0,733,HOB
290,16.51366120218579,-3.0,732,ABR
291,16.64876033057851,-1.0,726,PVU
292,14.373793103448277,-3.0,725,PRC
293,9.032167832167833,-5.0,715,DRT
294,-3.903225806451613,-10.0,713,CDV
295,5.299157303370786,-6.0,712,RKS
296,-1.5028169014084507,-11.0,710,WRG
297,-0.7086280056577087,-8.0,707,PSG
298,-7.171145685997171,-10.0,707,BRW
299,17.794871794871796,0.0,702,HTS
300,-5.503566333808845,-12.0,701,YAK
301,7.839541547277937,-3.0,698,GCK
302,-3.61294964028777,-10.0,695,OTZ
303,-7.767341040462428,-12.0,692,OME
304,13.62463768115942,-7.0,690,PIB
305,13.720289855072464,-8.0,690,EAU
306,23.590975254730715,-5.0,687,SHD
307,11.944606413994169,-9.0,686,MKG
308,5.016248153618907,-5.0,677,BTM
309,24.05037037037037,-8.0,675,CMX
310,1.535022354694486,-6.0,671,EKO
311,11.67313432835821,-5.0,670,ALO
312,18.113464447806354,-3.0,661,CIU
313,16.54420731707317,-5.0,656,IMT
314,6.646697388632872,-10.0,651,EAR
315,5.159126365054602,-8.0,641,INL
316,18.044444444444444,-8.0,630,LWB
317,14.2241653418124,-7.0,629,PIR
318,10.757575757575758,-3.0,627,ISN
319,7.906902086677367,-4.0,623,BRD
320,4.857835218093699,-4.0,619,HIB
321,-2.0309951060358893,-7.0,613,ADQ
322,12.024711696869852,-8.0,607,LBL
323,18.85927152317881,-3.0,604,APN
